SMILES,LOAEL_measured_median,LOAEL_predicted,Confidence
ClC12C3C4(C(C1(Cl)Cl)(C1(C2(C3(Cl)C(C41Cl)(Cl)Cl)Cl)Cl)Cl)Cl,1.9565721591442926e-05,0.0014218133641616987,0.625
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C=C2)(Cl)Cl)Cl,2.7404023436797774e-05,0.0012794179116857743,1
ClC1C2OC2C2C1C1(Cl)C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl,6.421500622500271e-05,0.0006312904946719587,1
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C1C2O1)(Cl)Cl)Cl,0.0001312648375209092,0.0009393540815108845,1
N#Cc1nn(c(c1S(=O)C(F)(F)F)N)c1c(Cl)cc(cc1Cl)C(F)(F)F,0.0001372533562906347,0.030320302552666413,1
CCSCCSP(=S)(OCC)OCC,0.00014577045919371006,0.002904296720614731,1
CCOP(=S)(SCSC(C)(C)C)OCC,0.0001733519259052264,0.004705691894690802,1
CCOP(=S)(SCSC(C)(C)C)OCC,0.0002080223110862717,0.0031198946651464694,1
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C1C2O1)(Cl)Cl)Cl,0.0002625296750418184,0.0009393540815108845,1
OC(=O)C(Oc1ccc(cc1)Oc1ncc(cc1Cl)C(F)(F)F)C,0.00027647194701359843,0.016349996939185575,1
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C1C2O1)(Cl)Cl)Cl,0.000328162093802273,0.00023577843419090474,1
CCSCCSP(=S)(OCC)OCC,0.00036442614798427517,0.002759857629239433,1
ClC1C2OC2C2C1C1(Cl)C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl,0.0005137200498000217,0.0008261557263644955,1
CNC(=O)ON=CC(SC)(C)C,0.0005255875464343458,0.0394300510866583,1
ClC1CC2C(C1Cl)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,0.0006100854842019096,0.0005942117597564336,1
CCSCSP(=S)(OCC)OCC,0.0006144925612602997,0.0013675281812878628,1
OC1CCCCCc2cc(O)cc(c2C(=O)OC(CCC1)C)O,0.0006203550142861557,0.7144075963289822,1
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C1C2O1)(Cl)Cl)Cl,0.000656324187604546,0.0009393540815108845,1
ClC1CC2C(C1Cl)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,0.0006588923229380624,0.0008687145669203877,1
ClC1C=CC2C1C1(Cl)C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl,0.0006696708996117783,0.0008952202189140214,1
ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)(Cl)Cl,0.0007052459522690667,0.04147328692582911,1
COP(=O)(SC)N,0.000708570686799144,0.33442367385922134,1
CCSCCSP(=S)(OCC)OCC,0.0008017375255654054,0.0029306716037033644,1
c1ccc(cc1)[Sn](c1ccccc1)c1ccccc1,0.0008571117562305596,0.6096639268673245,1
CCOP(=O)(SC(CC)C)SC(CC)C,0.0009245829520661433,0.0119018935050396,1
COP(=S)(Oc1ccc(cc1)N(=O)=O)OC,0.0009498211030948742,0.03193259568430547,1
ClC1C=CC2C1C1(Cl)C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl,0.001017899767409903,0.0008952202189140214,1
Clc1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,0.0010183220720957982,0.09587934918066965,1
CNC(=O)CSP(=S)(OC)OC,0.001090477150926923,0.011977939066676569,1
COC1CC(OC2C(C)C=CC=C3COC4C3(O)C(C=C(C4O)C)C(=O)OC3CC(CC=C2C)OC2(C3)C=CC(C(O2)C(C)C)C)OC(C1OC1CC(OC)C(C(O1)C)NC(=O)C)C,0.0011109849279118543,0.030023844212028958,1
