InChI,TD50
"InChI=1S/C10Cl10O/c11-2-1(21)3(12)6(15)4(2,13)8(17)5(2,14)7(3,16)9(6,18)10(8,19)20",6.0330177276964924e-06
"InChI=1S/C10Cl12/c11-1-2(12)7(17)4(14)3(13,5(1,15)9(7,19)20)6(1,16)10(21,22)8(2,4)18",3.244495264686663e-06
"InChI=1S/C10H10N2/c11-9-5-1-3-7-8(9)4-2-6-10(7)12/h1-6H,11-12H2",0.00043994970919703543
"InChI=1S/C10H10N4O3S/c1-6(2)12-13-10-11-7(5-18-10)8-3-4-9(17-8)14(15)16/h3-5H,1-2H3,(H,11,13)",2.2720649427514972e-05
"InChI=1S/C10H10O2/c1-2-3-8-4-5-9-10(6-8)12-7-11-9/h2,4-6H,1,3,7H2",0.002719113704579712
"InChI=1S/C10H10O3/c1-2-8(11)7-3-4-9-10(5-7)13-6-12-9/h2-5,8,11H,1,6H2",0.00010326369394436919
"InChI=1S/C10H12N4O5/c15-6-5-12-3-4-13(10(12)16)11-7-8-1-2-9(19-8)14(17)18/h1-2,7,15H,3-6H2",6.226085958013753e-05
"InChI=1S/C10H12O2/c1-2-3-8-4-5-9-10(6-8)12-7-11-9/h4-6H,2-3,7H2,1H3",0.000870883325385754
"InChI=1S/C10H13N3O/c14-12-13-7-2-1-5-10(13)9-4-3-6-11-8-9/h3-4,6,8,10H,1-2,5,7H2",6.222879488447862e-05
"InChI=1S/C10H13N3O2/c1-13(12-15)7-3-5-10(14)9-4-2-6-11-8-9/h2,4,6,8H,3,5,7H2,1H3",4.820749199437177e-07
"InChI=1S/C10H13N5O3S/c11-10-13-8-7(9(19)14-10)12-3-15(8)6-1-4(17)5(2-16)18-6/h3-6,16-17H,1-2H2,(H3,11,13,14,19)",7.4124248477187434e-06
"InChI=1S/C10H13NO2/c1-3-13-10-6-4-9(5-7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)",0.006974831460172528
"InChI=1S/C10H14N2O2/c1-8(12(2)11-14)10(13)9-6-4-3-5-7-9/h3-8,10,13H,1-2H3",0.0004901395456118142
"InChI=1S/C10H14N2O4S/c1-9-3-5-10(6-4-9)17(14,15)16-8-7-12(2)11-13/h3-6H,7-8H2,1-2H3",1.8583381114561576e-05
"InChI=1S/C10H15N3O2/c1-13(12-15)7-3-5-10(14)9-4-2-6-11-8-9/h2,4,6,8,10,14H,3,5,7H2,1H3",4.92245696553951e-07
"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3",0.0014974235506554966
"InChI=1S/C10H22N2O/c1-3-5-7-9-12(11-13)10-8-6-4-2/h3-10H2,1-2H3",2.1632403730435516e-05
"InChI=1S/C10H8N4/c11-8-5-4-7-10(13-8)14-6-2-1-3-9(14)12-7/h1-6H,(H2,11,13)",0.00022964481059732024
"InChI=1S/C10H9Cl4NO2S/c11-9(12)10(13,14)18-15-7(16)5-3-1-2-4-6(5)8(15)17/h1-2,5-6,9H,3-4H2",0.00021027855319187764
"InChI=1S/C10H9N/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7H,11H2",0.0004302120610230685
"InChI=1S/C10H9N3O3/c1-6-5-7(2)12-10(11-6)8-3-4-9(16-8)13(14)15/h3-5H,1-2H3",6.3413305571383615e-06
"InChI=1S/C10HCl11/c11-2-1-3(12)5(14)4(1,13)10(20,21)7(2,16)8(5,17)6(2,15)9(3,18)19/h1H",2.8566134612626775e-06
"InChI=1S/C11H10N4/c1-15-9-5-4-8-7(3-2-6-13-8)10(9)14-11(15)12/h2-6H,1H3,(H2,12,14)",4.0963737507195335e-06
